Modelltyp,Term,Koeffizient,SE,Statistik,p_Wert
Basismodell,Age_c,0.003946933123307331,0.001120421310292029,3.5227222894203916,0.0004271386776152809
Basismodell,Age_c_sq,0.00033494247353173424,6.937380012439372e-05,4.828083122607541,1.3785355497604189e-06
Basismodell,1/2,-3.2336930386736307,0.03692569868319378,-87.57296825761624,0.0
Basismodell,2/3,0.12578600539359225,0.025855916804566153,4.864882817513493,1.1452463965816444e-06
Basismodell,3/4,-0.06675192413462328,0.01825160205168577,-3.6573186258166244,0.0002548674843117631
Basismodell,4/5,-0.0022144446769562544,0.01315988545670896,-0.1682723367343081,0.8663690356142751
Hauptmodell,Age_c,0.0040746667805262055,0.001125231146617333,3.621182005826499,0.0002932601071938115
Hauptmodell,Age_c_sq,0.00033657590814849253,6.949045473720331e-05,4.843484035632579,1.2758197651736368e-06
Hauptmodell,Division_General Petite,0.06639372089612144,0.02763421426167868,2.4025912322823637,0.016279373254384267
Hauptmodell,Division_Initmates,0.1466755560957461,0.14077373208395064,1.0419241851759382,0.29744683019062534
Hauptmodell,Department_Dresses,-0.2614704868782139,0.04052001490325919,-6.452872426194067,1.0974974505597098e-10
Hauptmodell,Department_Intimate,-0.118794862547403,0.13317116320487693,-0.8920464437533167,0.37236803911435146
Hauptmodell,Department_Jackets,0.007929476278375305,0.07082415782652796,0.11196005037994583,0.9108550825318595
Hauptmodell,Department_Tops,-0.2305742697230693,0.03760070165509367,-6.1321799746743295,8.66829592886846e-10
Hauptmodell,Department_Trend,-0.6879169520463055,0.17407032596381428,-3.9519484336997777,7.751744690343141e-05
Hauptmodell,1/2,-3.392740427779975,0.04839507657800851,-70.10507406287874,0.0
Hauptmodell,2/3,0.12656134685760406,0.025848236024296062,4.896324327069849,9.764585935763114e-07
Hauptmodell,3/4,-0.06449985139719391,0.018242623847374826,-3.535667453148504,0.0004067463659541784
Hauptmodell,4/5,0.0013306339154816043,0.013158856197551796,0.10112078857805047,0.9194545757317429
Robustheitsmodell A (+ Recommended IND),Age_c,-0.00014739107220926867,0.0012119011293972438,-0.12161971685146931,0.9032001976176907
Robustheitsmodell A (+ Recommended IND),Age_c_sq,0.0002655712991221207,7.352063780212957e-05,3.6122006971276344,0.000303609439113597
Robustheitsmodell A (+ Recommended IND),Division_General Petite,0.03434305555876338,0.02956086248139125,1.1617744773307122,0.2453270839032733
Robustheitsmodell A (+ Recommended IND),Division_Initmates,0.09181209877134534,0.15048998464213637,0.6100877675658853,0.5418036693098773
Robustheitsmodell A (+ Recommended IND),Department_Dresses,-0.13111532090091207,0.04341739670565446,-3.0198798373334133,0.002528749896435155
Robustheitsmodell A (+ Recommended IND),Department_Intimate,-0.07822014810612507,0.14245079423001583,-0.5491029272874584,0.582934816456895
Robustheitsmodell A (+ Recommended IND),Department_Jackets,0.03261740595086798,0.07516390347079502,0.4339503996561526,0.6643244597860716
Robustheitsmodell A (+ Recommended IND),Department_Tops,-0.11307214488854288,0.04019775649762684,-2.812896906204662,0.004909738940132269
Robustheitsmodell A (+ Recommended IND),Department_Trend,-0.5433940959578708,0.18353586080080722,-2.9606971279995262,0.0030694362218196955
Robustheitsmodell A (+ Recommended IND),Recommended_IND,5.542763767647379,0.06754193144676178,82.06404005512225,0.0
