,Basismodell,Hauptmodell,Robustheitsmodell A (+ Recommended IND),Robustheitsmodell B (+ Positive Feedback Count)
N,22640.0,22627.0,22627.0,22627.0
Log-Likelihood,-27640.082791902005,-27589.37967528531,-20168.445185847508,-27557.77869958846
Log-Likelihood (Null),-27667.63667305308,-27659.952296735646,-27659.952296735646,-27659.952296735646
McFadden Pseudo-R2,0.0009958884987784078,0.0025514368460666237,0.27084309584193555,0.003693918053475631
AIC,55292.16558380401,55204.75935057062,40364.890371695015,55143.55739917692
Geschätztes Minimum (Age),37.38869697855895,37.227536594793385,43.55815182976646,36.36184445352781
