,Basismodell,Hauptmodell,Robustheitsmodell A (+Recommended IND),Robustheitsmodell B (+PFC)
N,22640.0,22627.0,22627.0,22627.0
R2,0.0003829794580160195,0.0011476954430299502,0.19203577146899464,0.001650208391442809
Adj. R2,0.0002946623647137603,0.0007502213863022078,0.1916785180959264,0.0012087732165185772
AIC,18826.48783360127,18820.860404516396,14023.919467421081,18811.47411492106
BIC,18850.57025419822,18901.12939614091,14112.215358208046,18899.770005708026
