Schwelle,Koeffizient,SE,z,p_Wert
Rating > 1,-0.4448580774399941,0.17601336031252182,-2.5274108547789957,0.011490699120031447
Rating > 2,-0.2517488602658297,0.11768994441006002,-2.1390855567802483,0.03242873991720918
Rating > 3,-0.014523826678334593,0.08965255469407296,-0.16200125839018373,0.8713048629088707
Rating > 4,0.03910715434627069,0.07308302349255613,0.5351058628582046,0.5925766560496291
