Kategorie,N,VADER Compound (Mittelwert),Geschätztes Minimum H1,"p (age_c, H1)",Signifikanz age_c H1,"p (age_c_sq, H1)",Signifikanz age_c_sq H1,Geschätztes Minimum H1 im Altersbereich,Geschätztes Minimum H2,"p (age_c, H2)",Signifikanz age_c H2,"p (age_c_sq, H2)",Signifikanz age_c_sq H2,Geschätztes Minimum H2 im Altersbereich,H2 konvergiert,Hinweis
Tops,10048,0.7399594645700637,46.36900158138804,0.2728003771404597,nein,0.0024658737125544646,ja,ja,36.92797773343386,0.0017400907251877572,ja,6.305172978474219e-05,ja,ja,True,
Dresses,6145,0.7393372172497966,40.21774177134831,0.7626863693548367,nein,0.4084527137910031,nein,ja,38.39121114283415,0.21024451772416708,nein,0.0390349688516925,ja,ja,True,
Bottoms,3661,0.7512386233269598,51.187669950909395,0.30924477425819763,nein,0.29922810152112816,nein,ja,20.34600380915932,0.09245446253499204,nein,0.5668830296159466,nein,ja,True,
Intimate,1653,0.7313380520266182,55.800089911047955,0.35973229758022496,nein,0.5150806441411354,nein,ja,43.65958713308296,0.944559243209923,nein,0.11532756298801516,nein,ja,True,
Jackets,1002,0.7419559880239521,69.23272916480323,0.2568557895990167,nein,0.7126516702145728,nein,ja,37.61318861678842,0.3571691004333064,nein,0.18677719583557362,nein,ja,True,
Sonstige,118,0.6308322033898305,,,,,,,,,,,,,,"N < 500, nur deskriptiv (kein Modellfit)"
